MathRes-MX,ReadingRes-MX,ScienceRes-MX,MathRes-JP,ReadingRes-JP,ScienceRes-JP,MathRes-UK,ReadingRes-UK,ScienceRes-UK
297.0946,479.1318,349.7203,510.3677,437.0418,486.5162,640.9955,659.9024,652.4991
388.38599999999997,437.1922,385.4345,529.1401,479.5449,478.7766,530.6979,534.3177,548.0604
423.9056,422.7672,448.0977,497.3594,483.3417,496.7736,505.7719,513.5254,539.668
286.1115,391.0428,335.7329,551.0282,618.7715,570.3469,596.1287,571.2718,580.4178
415.4152,416.9932,325.1026,435.9012,545.7744,516.4491,447.1958,472.2213,424.0395
327.2394,375.7921,365.2928,563.1017,558.0553,569.5076,594.5708,564.5511,618.6498
400.7711,322.3637,389.5375,439.1728,408.1718,482.2268,287.28,313.5423,327.4338
593.714,595.8269,616.132,522.1296,459.4963,455.0914,597.7644,637.3677,661.7307
278.4001,370.4804,275.1212,631.1030000000001,636.4052,629.1869,620.6652,570.9666,651.9396
456.5431,442.5141,388.605,470.8755,420.4415,535.9381,652.0564,634.5609,697.2585
359.7211,234.7913,336.3857,555.7018,553.0833,606.0612,559.5965,559.9926,563.8195
452.0252,417.0734,428.0492,543.2388,533.7803,561.9545,626.9746,606.974,631.0518
383.0893,390.0102,376.4827,465.1893,449.6629,463.8568,567.2301,579.7078,609.3249
441.899,343.2142,363.3346,554.845,534.8791,493.3234,284.1642,259.8119,305.0541
500.55300000000005,412.3419,384.5021,504.9151,528.379,539.4815,302.1577,384.5295,385.8075
449.1432,497.5598,474.0209,469.3955,500.4987,501.5293,479.3659,431.9896,507.2175
394.7733,376.5069,407.2548,544.3293,553.797,518.5938,685.7844,683.1106,713.0175
388.0745,407.8028,389.5375,519.7149,587.7273,555.2406,406.4574,358.4512,413.2227
465.1114,408.0916,396.9974,545.4198,491.8408,528.4782,624.2483,679.1391,716.7475
470.7197,431.4282,393.1742,596.9855,518.609,515.6098,371.9505,387.2301,330.7907
346.0897,288.7622,389.8172,462.2293,470.1561,499.7576,550.8724,547.363,540.3208
291.4862,325.9888,351.119,471.7324,454.6044,511.7866,564.1143,558.8573,584.1477
549.3924,542.8986,519.0601,506.3951,526.2344,501.436,498.1383,530.308,470.6639
472.9787,483.1034,508.8959,501.8772,571.5101,537.8031,509.1214,505.2646,473.5546
400.5375,378.4133,386.74,501.7993,537.0369999999999,577.6203,496.892,568.0151,595.6173
470.0966,529.9677,503.301,618.7179,567.1975,644.1067,638.8145,655.7069,666.4864
379.4283,368.6433,370.8877,560.1418,636.6435,567.6427,473.0566,476.9872,421.2421
367.121,424.3244,378.2544,514.2623,511.6985,489.1272,516.2876,536.4830000000001,554.9608
368.5231,327.3391,343.8456,476.1723,427.4185,458.2618,512.7045,521.9451,557.1056
311.8944,200.468,285.3786,395.1628,331.4256,354.1029,647.7722,625.9997,651.6598
511.9255,519.6422,531.2756,378.2599,358.371,424.1328,541.8367,540.2143,552.8161
433.3307,499.7839,381.0518,508.3424,564.0436,601.3055,473.9134,508.3624,523.7225
374.8325,412.5686,387.486,450.1558,471.9036,479.0563,593.7919,609.7006,590.9549
464.8777,453.555,425.9045,425.2298,351.9554,400.7273,469.8629,468.3177,466.934
429.3582,478.74300000000005,450.1492,524.3885,554.5118,498.3588,511.2245,544.5035,548.0604
516.2876,500.4193,438.9593,504.9151,408.4382,454.8116,491.05,504.3114,522.1373
288.4484,321.0641,306.4528,406.2237,396.7618,394.1999,603.9959,606.8136,620.981
386.205,336.6383,342.9131,421.4909,362.6065,447.3517,482.4038,598.5166,521.0183
408.4047,404.4667,445.3935,471.5766,493.9854,536.1246,365.719,408.6765,344.7781
470.0966,445.0613,433.3644,522.1296,431.4282,498.9183,436.836,482.309,465.44199999999995
429.436,363.2629,435.1361,557.9607,576.832,603.73,512.7045,656.263,574.1701
380.2851,402.0837,398.8624,507.3298,444.4999,536.8706,411.91,395.3407,413.2227
522.1296,532.43,561.395,345.2329,314.7096,356.7139,448.8316,424.9324,445.207
328.1742,384.6883,431.7792,543.0830000000001,466.4228,533.8866,457.1662,467.93199999999996,439.8918
357.8517,398.2277,361.1899,457.3999,440.1694,467.5867,567.2301,586.3637,637.5793
457.3999,432.3905,447.3517,695.8327,709.7031,701.2682,402.8743,445.8632,428.5155
356.3717,379.0487,343.8456,445.0148,381.9482,414.7147,598.9329,635.5315,606.8072
