CNT,ST04Q01,AGE,ST88Q01,ST88Q02,ST88Q03,ST88Q04,ST89Q02,ST89Q03,ST89Q05,PV1MATH,PV1READ,PV1SCIE
Mexico,1,16.08,3,4,3,2,2,2,2,399.8364,385.4032,356.8072
Mexico,0,15.75,3,4,2,1,1,1,1,408.3268,395.3407,405.3898
Mexico,0,15.67,3,4,2,1,2,2,2,411.6763,457.8924,441.4771
Mexico,0,16.0,3,3,4,1,3,1,2,357.7738,348.0259,392.2417
Mexico,1,15.67,3,3,2,2,2,3,2,390.0997,383.6557,357.8329
Mexico,1,16.0,3,4,1,1,3,4,2,606.177,556.3388,574.1701
Mexico,0,16.0,4,4,1,1,2,1,1,507.4856,527.6616,477.8441
Mexico,1,16.08,3,3,2,2,2,3,3,381.9988,456.5734,353.73
Mexico,1,15.67,3,4,2,1,1,1,1,600.0234,624.57,583.7747
Mexico,0,16.17,3,3,2,2,1,1,1,378.8051,302.3952,314.2857
Mexico,0,15.83,2,2,2,2,3,2,3,385.9713,357.6492,399.5151
Mexico,0,15.92,2,3,1,1,1,1,1,455.3747,456.4489,550.4849
Mexico,0,15.5,3,4,1,1,1,1,1,473.8355,457.8924,429.5412
Mexico,1,15.83,2,3,1,1,2,1,1,309.8691,382.226,315.8709
Mexico,0,15.42,2,3,2,2,1,1,1,555.5459999999999,458.0528,522.8833
Mexico,0,15.92,3,3,1,1,1,1,1,384.1798,441.8535,435.2294
Mexico,1,15.5,3,3,2,2,2,2,2,406.769,410.1857,408.0007
Mexico,0,15.75,3,4,2,2,2,2,2,374.2873,423.4087,342.9131
Mexico,1,15.92,1,4,2,1,1,1,1,391.1902,447.3594,350.37300000000005
Mexico,1,15.58,4,4,2,1,2,1,1,417.0509,448.6303,399.4219
Mexico,1,15.33,4,4,1,1,1,1,1,508.9656,516.4644,502.6483
Mexico,0,15.33,3,3,2,1,1,2,1,395.3186,394.5387,361.5628
Mexico,1,15.67,1,3,2,1,1,1,1,489.3363,461.0215,413.7822
Mexico,0,15.75,1,4,2,2,2,2,2,354.7359,355.7246,342.5401
Mexico,1,16.08,4,4,2,1,1,1,2,392.1249,483.1034,377.6949
Mexico,0,16.17,2,2,2,2,2,2,2,363.1485,323.32599999999996,385.8075
Mexico,1,16.08,1,3,1,1,2,1,1,303.3261,347.2763,313.3532
Mexico,1,15.58,3,3,2,2,2,2,2,423.2824,475.1603,480.2686
Mexico,1,15.33,3,3,2,2,1,1,2,536.2284,514.8758,528.7579
Mexico,0,15.58,2,3,1,2,2,1,1,264.9244,307.0465,316.8034
Mexico,0,16.0,3,3,2,2,2,2,2,471.8881,470.5631,494.9086
Mexico,0,16.08,3,3,2,2,1,1,1,472.3555,489.1682,441.1041
Mexico,0,16.17,3,4,1,1,1,1,1,435.1223,422.7672,447.9112
Mexico,1,15.33,4,4,1,1,1,1,1,461.2167,504.4703,527.5457
Mexico,1,15.58,1,4,1,1,1,1,1,297.1725,298.8234,309.9963
Mexico,1,15.58,2,4,2,2,1,1,1,405.99,409.3914,357.6464
Mexico,1,15.67,3,3,2,1,1,1,1,533.7358,522.9777,487.4487
Mexico,0,15.33,3,3,2,2,2,2,2,505.3825,583.7978,480.9213
Mexico,0,15.25,2,3,1,1,2,1,2,588.2614,524.6142,503.1145
Mexico,1,15.75,4,4,2,1,1,1,2,482.0143,457.5266,419.3771
Mexico,1,15.25,1,4,1,1,1,1,1,473.2123,470.3944,424.6923
Mexico,1,16.17,2,3,2,2,1,2,1,394.5396,408.4382,457.3294
Mexico,0,16.0,2,3,2,2,2,2,2,324.2795,259.0902,344.1253
Mexico,1,15.5,2,4,2,2,1,1,1,378.7272,517.4176,510.7609
Mexico,1,15.5,4,4,3,3,1,1,1,441.5096,501.3725,466.934
Mexico,0,16.17,2,4,1,1,1,1,1,408.7942,466.5534,369.0228
Mexico,1,15.33,3,3,2,1,1,1,1,324.2795,418.7642,365.1996
Mexico,1,15.83,3,3,2,1,1,1,1,335.3404,425.913,387.6725
Mexico,1,15.92,3,4,2,2,1,2,1,471.6545,479.1318,470.6639
Mexico,1,15.5,1,4,1,1,1,1,1,319.2164,401.9249,398.8624
Mexico,0,15.58,3,2,4,1,2,1,4,324.1237,358.371,462.2715
Mexico,0,16.17,4,4,1,1,1,1,1,449.8442,420.20099999999996,438.9593
Mexico,0,15.58,3,3,3,3,1,1,1,434.8107,398.7088,325.0093
Mexico,1,15.83,3,3,1,1,2,1,1,367.0432,408.4382,350.37300000000005
Mexico,0,15.5,4,4,1,1,2,3,1,494.0879,461.9823,449.4965
Mexico,1,15.67,2,3,1,1,1,1,1,454.5957,463.4045,422.7341
Mexico,0,15.75,3,3,1,1,1,2,1,379.9735,437.8438,372.7527
Mexico,0,15.5,3,4,2,2,1,1,1,268.2739,358.9324,352.7975
Mexico,1,15.42,3,3,1,1,1,1,1,392.4365,424.3244,374.6177
Mexico,0,15.25,3,4,1,1,1,1,1,272.2465,264.6236,262.4394
Mexico,1,15.92,1,4,2,1,1,1,1,487.2332,529.9677,482.5065
Mexico,1,15.92,2,4,2,2,2,2,2,429.8255,576.0376,437.0944
Mexico,0,15.42,2,3,1,1,1,1,2,511.2245,504.4052,485.4905
Mexico,1,15.58,2,2,1,1,2,2,1,351.5423,384.6089,307.3853
Mexico,0,16.08,4,4,2,1,1,1,1,363.6158,424.8522,410.0522
Mexico,0,15.83,2,4,1,1,2,1,2,511.2245,455.4865,457.5159
Mexico,0,15.92,2,3,1,1,1,1,1,400.5375,433.834,383.0101
Mexico,0,16.0,2,3,2,2,1,1,2,502.81199999999995,470.7235,531.9284
Mexico,1,15.67,4,4,1,1,2,1,2,385.4261,443.3879,464.1365
Mexico,0,15.5,3,2,3,2,2,2,2,455.0631,349.6298,433.3644
Mexico,0,16.08,2,2,2,2,1,1,2,329.8099,241.3672,348.7878
Mexico,1,16.08,3,4,2,1,1,1,1,466.7472,523.7719999999999,488.1947
Mexico,1,15.25,4,4,1,2,1,1,1,396.1754,430.0434,363.0548
Mexico,0,15.25,2,2,1,1,2,1,1,365.4074,359.9749,317.7359
Mexico,1,15.67,3,4,2,2,1,1,2,456.3094,476.7489,493.0436
Mexico,1,16.0,2,3,2,2,1,1,1,396.7986,421.6238,405.0168
Mexico,0,15.5,2,4,1,1,1,1,2,402.0953,501.9994,466.0015
Mexico,1,15.92,2,4,2,1,1,1,1,446.5727,470.3944,470.5707
Mexico,0,16.0,2,4,1,1,1,1,1,524.3885,468.3177,568.5752
