CNT,ST04Q01,AGE,ST13Q01,ST17Q01,ST19Q01,ST15Q01,ST26Q10,ST26Q02,BFMJ2,BMMJ1,PV1MATH,PV1READ,PV1SCIE
Mexico,1,16.17,4,2,1,4,1,2,71.29,16.5,472.9787,441.9581,454.8116
Mexico,1,15.5,4,4,2,4,1,1,32.5,41.63,396.6428,431.6321,372.5662
Mexico,1,16.0,4,3,3,4,1,1,22.57,31.08,536.8515,568.2534,521.9508
Mexico,1,15.83,4,5,4,4,2,2,29.47,29.47,209.1525,233.69,266.4491
Mexico,1,16.0,2,2,1,4,1,1,65.01,57.13,548.8472,518.2119,557.0123
Mexico,0,16.08,3,1,1,3,2,2,25.95,16.38,409.3395,451.4768,414.4349
Mexico,0,15.67,2,2,1,1,1,1,43.85,44.14,571.8258,582.1137,558.3178
Mexico,1,15.42,2,1,1,1,1,2,59.35,54.55,503.51300000000003,555.0679,442.3163
Mexico,1,15.75,1,3,1,2,1,1,51.25,24.53,433.2528,473.7305,458.5416
Mexico,1,16.0,1,3,3,1,1,2,30.34,76.65,397.1101,447.2005,411.9172
Mexico,0,15.75,1,1,1,4,2,1,50.15,31.08,451.3242,521.246,447.6315
Mexico,1,15.42,3,1,1,4,1,1,70.89,27.91,456.9325,502.3257,455.3711
Mexico,0,15.25,3,3,2,2,2,2,29.32,16.5,462.5409,457.8924,503.301
Mexico,0,15.58,5,4,4,1,1,1,28.48,28.48,462.3072,432.2301,466.6542
Mexico,0,15.58,4,4,1,4,2,1,18.08,40.54,424.0614,451.958,395.6919
Mexico,0,16.0,1,3,1,4,1,2,25.95,44.94,482.4817,432.7113,477.7508
Mexico,0,15.25,3,1,1,4,1,2,25.95,29.73,382.0766,449.8729,376.4827
Mexico,1,16.08,3,2,1,1,1,2,62.45,43.51,439.4064,575.1639,466.0015
Mexico,1,15.75,4,4,1,2,1,1,44.14,29.73,381.2977,417.9699,417.2324
Mexico,0,15.67,4,3,1,1,2,2,30.9,50.15,545.6535,479.5449,490.8989
Mexico,0,15.75,1,1,1,1,1,1,70.57,44.94,566.1396,497.0273,536.8706
Mexico,1,15.92,1,1,1,2,2,2,72.3,72.3,490.1153,549.9843,534.0731
Mexico,1,16.08,3,1,1,2,2,2,76.49,30.35,455.842,486.4395,449.2167
Mexico,0,16.08,2,3,1,1,1,1,29.73,29.73,496.0352,492.2156,504.2335
Mexico,0,15.92,1,3,1,1,1,1,30.34,44.14,475.3155,410.5776,459.4741
Mexico,0,15.25,3,4,1,2,1,2,16.5,16.5,527.6601,522.048,521.298
