CNT,ST04Q01,AGE,ST05Q01,ST06Q01,ST08Q01,ST09Q01,ST115Q01,CLCUSE1,PV1MATH,PV1READ,PV1SCIE
Mexico,0,16.08,3,6.0,1,1,1.0,2,398.668,445.0613,439.8918
Mexico,1,15.5,3,6.0,1,1,1.0,3,589.274,566.5059,573.8903
Mexico,1,16.08,3,6.0,1,1,1.0,2,491.05,496.6066,521.298
Mexico,1,15.83,3,6.0,1,2,1.0,1,435.9012,511.0631,446.0463
Mexico,1,15.25,3,6.0,1,1,1.0,2,385.7377,440.3695,292.3722
Mexico,1,15.33,3,6.0,1,1,1.0,3,294.0567,356.0137,389.5375
Mexico,0,16.17,3,6.0,3,1,1.0,3,479.6775,474.5728,458.5416
Mexico,0,16.08,1,6.0,2,2,2.0,2,524.5443,553.805,458.1686
Mexico,0,16.17,2,6.0,2,2,1.0,2,477.5744,425.7344,513.5584
Mexico,0,15.42,3,7.0,1,1,1.0,1,384.3356,421.4841,411.5442
Mexico,1,16.08,3,6.0,1,1,1.0,2,466.9808,497.4009,402.3126
Mexico,1,15.75,3,6.0,2,2,2.0,2,479.2102,497.5598,454.6251
Mexico,1,15.75,3,6.0,1,1,1.0,2,401.5501,451.33099999999996,417.2324
Mexico,1,15.58,3,6.0,1,1,1.0,3,472.9787,491.9996,480.9213
Mexico,1,15.75,3,6.0,2,1,2.0,4,525.0896,528.2996,494.9086
Mexico,1,15.92,2,6.0,1,1,1.0,3,436.4465,495.8123,437.0011
Mexico,0,15.67,3,6.0,2,1,1.0,3,394.3839,407.3698,409.959
Mexico,0,15.25,3,6.0,2,1,1.0,4,346.2455,363.2629,388.3253
Mexico,1,15.92,3,6.0,2,1,1.0,3,377.0914,418.6848,384.875
Mexico,0,16.08,1,6.0,1,1,1.0,3,423.594,420.0406,402.5923
Mexico,0,15.83,3,6.0,1,2,1.0,3,329.8099,357.6492,415.9269
Mexico,0,16.17,1,6.0,1,1,1.0,3,332.9257,326.3734,399.1421
Mexico,1,16.17,2,6.0,2,1,1.0,3,416.272,496.2889,476.8184
Mexico,0,15.25,1,5.0,1,1,1.0,4,501.1762,556.5316,525.028
Mexico,0,16.17,1,6.0,1,2,2.0,3,418.45300000000003,469.28,425.9045
Mexico,1,15.58,3,6.0,1,1,1.0,3,496.5805,565.7116,496.7736
Mexico,1,15.67,3,6.0,1,1,1.0,3,416.973,519.7211,524.0955
Mexico,0,16.0,3,6.0,3,2,2.0,4,474.5365,391.4913,365.1063
Mexico,1,16.0,2,7.0,2,1,2.0,3,390.4892,441.7992,430.4737
Mexico,0,15.33,1,5.0,2,2,3.0,1,414.6362,441.9337,442.0366
Mexico,1,15.83,3,6.0,2,1,1.0,3,391.5018,363.3214,332.2827
Mexico,0,15.58,3,6.0,1,1,1.0,3,427.8003,399.5108,437.8404
Mexico,0,16.08,2,6.0,3,1,2.0,3,460.4378,492.2958,497.7061
Mexico,0,15.92,3,6.0,1,1,1.0,3,475.0039,423.2484,416.5796
Mexico,0,15.67,3,6.0,2,1,1.0,3,483.1827,436.2399,459.3808
Mexico,0,15.5,3,6.0,2,2,2.0,3,403.8869,397.7465,415.3674
Mexico,0,15.25,3,9.0,4,4,2.0,2,272.9475,332.4682,289.3883
Mexico,0,15.75,2,5.0,1,1,1.0,2,452.6484,408.8935,470.6639
Mexico,1,15.83,3,6.0,1,1,1.0,3,533.8137,545.8539,443.5285
Mexico,0,15.92,3,6.0,1,1,1.0,4,577.5121,495.5838,537.1503
Mexico,1,16.08,2,6.0,1,1,1.0,3,423.1267,452.2841,397.7434
Mexico,0,15.42,3,6.0,1,1,1.0,3,608.4359,559.6592,603.0772
Mexico,0,15.83,3,6.0,2,1,1.0,2,524.5443,491.2533,512.2529
Mexico,1,15.58,3,7.0,2,1,1.0,1,428.1119,371.2645,456.3036
Mexico,0,16.17,2,6.0,1,1,2.0,3,346.3234,343.3746,412.4767
Mexico,1,15.42,3,7.0,2,2,1.0,1,452.2589,481.6736,435.7889
Mexico,1,15.67,3,6.0,1,1,1.0,3,510.0561,521.8657,472.5289
Mexico,0,15.67,3,6.0,1,1,1.0,3,513.6392,532.1525,463.7635
Mexico,0,16.17,2,7.0,1,1,1.0,1,322.0985,364.8667,367.8105
Mexico,0,15.58,3,6.0,2,1,2.0,3,465.9682,543.8609,510.7609
Mexico,0,15.92,3,6.0,2,1,2.0,3,459.7367,496.3857,440.8243
Mexico,1,15.67,2,6.0,2,1,1.0,3,420.0888,473.5716,452.8534
Mexico,1,16.17,3,6.0,1,1,1.0,3,427.8003,500.73699999999997,467.8665
Mexico,1,15.67,3,6.0,1,1,1.0,3,446.9621,462.2924,451.0817
Mexico,0,15.42,2,6.0,2,2,1.0,3,536.1505,540.5729,574.4498
Mexico,0,15.75,1,6.0,1,1,1.0,3,480.76800000000003,398.7088,403.3383
Mexico,0,15.33,3,7.0,1,1,1.0,3,430.8381,457.0102,392.3349
Mexico,1,16.17,3,6.0,2,1,2.0,3,396.0975,552.2083,435.2294
Mexico,0,15.42,3,6.0,1,1,1.0,2,443.6127,398.5484,457.3294
Mexico,0,16.0,3,6.0,1,1,1.0,3,427.8782,421.8049,383.8493
Mexico,0,15.67,3,6.0,2,2,2.0,3,369.8473,403.3601,442.6893
Mexico,0,16.08,1,6.0,1,1,1.0,3,401.3164,383.3115,416.5796
Mexico,0,15.42,2,6.0,2,1,1.0,3,397.4996,447.4671,358.6721
Mexico,1,15.67,3,6.0,2,1,1.0,1,416.4278,374.4417,394.7594
Mexico,1,15.42,2,6.0,4,1,1.0,3,331.6794,374.9183,353.1705
Mexico,1,15.42,3,5.0,1,1,2.0,3,344.6876,381.4317,374.6177
